,val_loss,val_x_label_output_loss,val_y_label_output_loss,val_z_label_output_loss,val_x_label_output_acc,val_y_label_output_acc,val_z_label_output_acc,loss,x_label_output_loss,y_label_output_loss,z_label_output_loss,x_label_output_acc,y_label_output_acc,z_label_output_acc
607,1.2404966380563565,0.47386052189176553,0.27937938064860646,0.013396204887524021,0.796875,0.890625,1.0,1.525723485625349,0.5103158322554009,0.2921729315152106,0.21291887160325706,0.859375,0.90625,0.984375
608,1.0109012279717717,0.33638511459867004,0.2941503673173429,0.043980618742717414,0.875,0.9375,0.984375,1.4774408497323748,0.5105749179474515,0.3570822061151375,0.09920881128797032,0.859375,0.875,0.984375
609,1.0122365436982363,0.40407956815033685,0.20401360033508809,6.379405734358023e-05,0.828125,0.9375,1.0,0.8679210937116295,0.33565178815842955,0.19559555892692515,0.0010219523499683802,0.90625,0.953125,1.0
610,1.7622215953888372,0.39204862019869324,0.8197599224874921,0.15836442107826176,0.828125,0.703125,0.984375,1.4106489261612296,0.49585681202370324,0.4188411172618345,9.418320216658671e-05,0.8125,0.8125,1.0
611,1.7196221456397325,0.6590335922373924,0.4000528737310276,0.0015020746207714541,0.71875,0.859375,1.0,1.3751294948742725,0.4308626737679333,0.5133039170068514,0.00010021713199304116,0.828125,0.78125,1.0
612,1.8856120592099614,0.6608158066851502,0.556336286739679,0.0076441475828077365,0.6875,0.703125,1.0,2.3710094537818804,0.7895489265745255,0.4076624196568446,0.38424916521870167,0.703125,0.875,0.96875
613,1.142588458606042,0.3793926176294917,0.3769218362431275,0.006881373391328216,0.890625,0.859375,1.0,1.693426663056016,0.5938554148597177,0.5046197406098827,0.0010960829444346398,0.734375,0.78125,1.0
614,1.232007118553156,0.4763911038223796,0.2769891399689186,0.0022357608670948714,0.78125,0.921875,1.0,1.5748539354390232,0.5367334367765579,0.4036392059363365,0.097747843677495,0.75,0.8125,0.984375
615,1.862992121372372,0.6570140236290172,0.3520454636212662,0.1969185974797798,0.671875,0.890625,0.96875,2.040486295358278,0.5207434711337555,0.5116359958801695,0.487363329914434,0.765625,0.8125,0.953125
616,1.85455486853607,0.6098210924537852,0.3179169966861082,0.31699568905931463,0.75,0.890625,0.9375,1.9566469809506088,0.5840320008283015,0.3256883721314807,0.462894568913391,0.765625,0.859375,0.9375
